"";"lemma";"freq";"freq [%]"
"1";"zvíře";"2449";"0.42"
"2";"kůň";"1547";"0.26"
"3";"pes";"1304";"0.22"
"4";"úcta";"1091";"0.19"
"5";"respekt";"1069";"0.18"
"6";"ovce";"1057";"0.18"
"7";"králík";"867";"0.15"
"8";"slepice";"854";"0.15"
"9";"prase";"841";"0.14"
"10";"dobytek";"767";"0.13"
"11";"kráva";"736";"0.13"
"12";"koza";"709";"0.12"
"13";"včela";"637";"0.11"
"14";"skot";"633";"0.11"
"15";"naděje";"574";"0.1"
"16";"druh";"557";"0.09"
"17";"maso";"557";"0.09"
"18";"kočka";"523";"0.09"
"19";"ryba";"510";"0.09"
"20";"sympatie";"508";"0.09"
"21";"cit";"470";"0.08"
"22";"drůbež";"463";"0.08"
"23";"plemeno";"439";"0.07"
"24";"holub";"409";"0.07"
"25";"rok";"380";"0.06"
"26";"obdiv";"307";"0.05"
"27";"stádo";"297";"0.05"
"28";"dítě";"281";"0.05"
"29";"zášť";"266";"0.05"
"30";"had";"260";"0.04"
"31";"mazlíček";"255";"0.04"
"32";"důvěra";"239";"0.04"
"33";"doba";"231";"0.04"
"34";"vztah";"231";"0.04"
"35";"mléko";"227";"0.04"
"36";"nenávist";"222";"0.04"
"37";"papoušek";"202";"0.03"
"38";"tygr";"201";"0.03"
"39";"pták";"198";"0.03"
"40";"nedůvěra";"195";"0.03"
"41";"kapr";"194";"0.03"
"42";"láska";"192";"0.03"
"43";"náklonnost";"181";"0.03"
"44";"podezření";"181";"0.03"
"45";"lev";"180";"0.03"
"46";"stovka";"172";"0.03"
"47";"desítka";"165";"0.03"
"48";"husa";"159";"0.03"
"49";"samec";"152";"0.03"
"50";"zvířectvo";"144";"0.02"
"51";"rybička";"142";"0.02"
"52";"řada";"141";"0.02"
"53";"samice";"138";"0.02"
"54";"medvěd";"135";"0.02"
"55";"želva";"133";"0.02"
"56";"den";"131";"0.02"
"57";"kachna";"128";"0.02"
"58";"radost";"127";"0.02"
"59";"slon";"125";"0.02"
"60";"život";"123";"0.02"
"61";"spousta";"122";"0.02"
"62";"zvěř";"120";"0.02"
"63";"syn";"115";"0.02"
"64";"pštros";"114";"0.02"
"65";"býk";"114";"0.02"
"66";"pocit";"112";"0.02"
"67";"odpor";"110";"0.02"
"68";"jelen";"110";"0.02"
"69";"kuře";"107";"0.02"
"70";"šelma";"106";"0.02"
"71";"množství";"106";"0.02"
"72";"daněk";"105";"0.02"
"73";"miminko";"103";"0.02"
"74";"krokodýl";"98";"0.02"
"75";"potřeba";"95";"0.02"
"76";"člověk";"92";"0.02"
"77";"morče";"92";"0.02"
"78";"potěšení";"91";"0.02"
"79";"skupina";"91";"0.02"
"80";"účel";"90";"0.02"
"81";"dcerka";"90";"0.02"
"82";"pstruh";"86";"0.01"
"83";"pár";"84";"0.01"
"84";"vlna";"83";"0.01"
"85";"pejsek";"83";"0.01"
"86";"vepř";"82";"0.01"
"87";"zvířátko";"81";"0.01"
"88";"pravidlo";"80";"0.01"
"89";"poznání";"79";"0.01"
"90";"žirafa";"79";"0.01"
"91";"křeček";"77";"0.01"
"92";"andulka";"77";"0.01"
"93";"ovčák";"77";"0.01"
"94";"dcera";"76";"0.01"
"95";"nosorožec";"74";"0.01"
"96";"dojnice";"70";"0.01"
"97";"počet";"70";"0.01"
"98";"ptactvo";"70";"0.01"
"99";"kožešina";"69";"0.01"
"100";"peníze";"68";"0.01"
"101";"velbloud";"66";"0.01"
"102";"plaz";"65";"0.01"
"103";"osel";"65";"0.01"
"104";"věc";"64";"0.01"
"105";"problém";"63";"0.01"
"106";"lama";"62";"0.01"
"107";"žralok";"62";"0.01"
"108";"vlk";"58";"0.01"
"109";"bažant";"58";"0.01"
"110";"práce";"56";"0.01"
"111";"dravec";"56";"0.01"
"112";"představa";"55";"0.01"
"113";"smečka";"54";"0.01"
"114";"poklad";"54";"0.01"
"115";"panda";"52";"0.01"
"116";"pavouk";"52";"0.01"
"117";"pochybnost";"51";"0.01"
"118";"zákon";"50";"0.01"
"119";"víra";"50";"0.01"
"120";"prasátko";"49";"0.01"
"121";"gepard";"49";"0.01"
"122";"iluze";"49";"0.01"
"123";"včelstvo";"49";"0.01"
"124";"plnokrevník";"48";"0.01"
"125";"produkce";"48";"0.01"
"126";"chodec";"46";"0.01"
"127";"ovečka";"46";"0.01"
"128";"prodej";"46";"0.01"
"129";"nepřátelství";"46";"0.01"
"130";"šnek";"46";"0.01"
"131";"nosnice";"45";"0.01"
"132";"vzpomínka";"45";"0.01"
"133";"živočich";"45";"0.01"
"134";"averze";"45";"0.01"
"135";"čas";"45";"0.01"
"136";"myš";"44";"0.01"
"137";"situace";"44";"0.01"
"138";"antipatie";"43";"0.01"
"139";"zábava";"43";"0.01"
"140";"přesvědčení";"43";"0.01"
"141";"oko";"42";"0.01"
"142";"kus";"42";"0.01"
"143";"poník";"42";"0.01"
"144";"rybka";"42";"0.01"
"145";"cena";"42";"0.01"
"146";"klokan";"42";"0.01"
"147";"vejce";"41";"0.01"
"148";"hroznýš";"41";"0.01"
"149";"potkan";"41";"0.01"
"150";"jezevčík";"41";"0.01"
"151";"obava";"40";"0.01"
"152";"užitek";"40";"0.01"
"153";"párek";"40";"0.01"
"154";"výkrm";"38";"0.01"
"155";"levhart";"38";"0.01"
"156";"krysa";"38";"0.01"
"157";"tvor";"38";"0.01"
"158";"úmysl";"38";"0.01"
"159";"chvíle";"38";"0.01"
"160";"mládě";"37";"0.01"
"161";"jedinec";"36";"0.01"
"162";"kůže";"36";"0.01"
"163";"ambice";"36";"0.01"
"164";"hmyz";"36";"0.01"
"165";"hřiště";"36";"0.01"
"166";"muflon";"36";"0.01"
"167";"myšlenka";"35";"0.01"
"168";"zelenina";"34";"0.01"
"169";"pohled";"34";"0.01"
"170";"vnouče";"34";"0.01"
"171";"okolí";"33";"0.01"
"172";"poddruh";"33";"0.01"
"173";"rys";"33";"0.01"
"174";"týden";"33";"0.01"
"175";"motýl";"33";"0.01"
"176";"krůta";"33";"0.01"
"177";"matka";"33";"0.01"
"178";"kohout";"33";"0.01"
"179";"puma";"33";"0.01"
"180";"panenka";"32";"0.01"
"181";"doga";"32";"0.01"
"182";"názor";"32";"0.01"
"183";"zubr";"32";"0.01"
"184";"slonice";"32";"0.01"
"185";"prospěch";"32";"0.01"
"186";"miláček";"31";"0.01"
"187";"zájem";"31";"0.01"
"188";"synek";"31";"0.01"
"189";"vajíčko";"31";"0.01"
"190";"zoo";"31";"0.01"
"191";"činčila";"30";"0.01"
"192";"med";"30";"0.01"
"193";"opice";"30";"0.01"
"194";"prasnice";"30";"0.01"
"195";"postoj";"30";"0.01"
"196";"většina";"30";"0.01"
"197";"památka";"30";"0.01"
"198";"leguán";"30";"0.01"
"199";"touha";"29";"0.0"
"200";"hejno";"29";"0.0"
"201";"chrt";"29";"0.0"
"202";"vášeň";"29";"0.0"
"203";"fena";"29";"0.0"
"204";"slovo";"29";"0.0"
"205";"přátelství";"29";"0.0"
"206";"rozdíl";"29";"0.0"
"207";"zebra";"29";"0.0"
"208";"kocour";"28";"0.0"
"209";"století";"28";"0.0"
"210";"služba";"28";"0.0"
"211";"zisk";"28";"0.0"
"212";"antilopa";"28";"0.0"
"213";"tvář";"28";"0.0"
"214";"hroch";"28";"0.0"
"215";"páv";"27";"0.0"
"216";"norek";"27";"0.0"
"217";"zápas";"27";"0.0"
"218";"opička";"27";"0.0"
"219";"kříženec";"27";"0.0"
"220";"plameňák";"27";"0.0"
"221";"hlodavec";"27";"0.0"
"222";"potěcha";"26";"0.0"
"223";"přání";"26";"0.0"
"224";"policista";"26";"0.0"
"225";"tele";"26";"0.0"
"226";"kanár";"26";"0.0"
"227";"zahrada";"26";"0.0"
"228";"sýr";"26";"0.0"
"229";"sob";"26";"0.0"
"230";"chameleon";"26";"0.0"
"231";"tučňák";"26";"0.0"
"232";"mýval";"26";"0.0"
"233";"led";"26";"0.0"
"234";"liška";"25";"0.0"
"235";"skepse";"25";"0.0"
"236";"cesta";"25";"0.0"
"237";"hlava";"25";"0.0"
"238";"samička";"25";"0.0"
"239";"předsudek";"25";"0.0"
"240";"lemur";"25";"0.0"
"241";"žena";"24";"0.0"
"242";"tajemství";"24";"0.0"
"243";"kačena";"24";"0.0"
"244";"pelikán";"24";"0.0"
"245";"muž";"24";"0.0"
"246";"možnost";"24";"0.0"
"247";"středa";"24";"0.0"
"248";"okrasa";"24";"0.0"
"249";"tisícovka";"24";"0.0"
"250";"sklípkan";"24";"0.0"
"251";"předpis";"24";"0.0"
"252";"ježek";"24";"0.0"
"253";"vraník";"23";"0.0"
"254";"beran";"23";"0.0"
"255";"nutrie";"23";"0.0"
"256";"čuník";"23";"0.0"
"257";"exot";"23";"0.0"
"258";"jeseter";"22";"0.0"
"259";"štěně";"22";"0.0"
"260";"zbytek";"22";"0.0"
"261";"generace";"22";"0.0"
"262";"sobota";"22";"0.0"
"263";"škola";"22";"0.0"
"264";"místo";"22";"0.0"
"265";"šimpanz";"22";"0.0"
"266";"brojler";"22";"0.0"
"267";"vlčák";"22";"0.0"
"268";"křepelka";"22";"0.0"
"269";"rámec";"22";"0.0"
"270";"děťátko";"22";"0.0"
"271";"relikvie";"22";"0.0"
"272";"země";"21";"0.0"
"273";"plodina";"21";"0.0"
"274";"ohled";"21";"0.0"
"275";"žába";"21";"0.0"
"276";"majetek";"21";"0.0"
"277";"krocan";"21";"0.0"
"278";"opovržení";"21";"0.0"
"279";"jídlo";"21";"0.0"
"280";"pomoc";"21";"0.0"
"281";"bizon";"21";"0.0"
"282";"podzim";"21";"0.0"
"283";"jak";"21";"0.0"
"284";"ještěr";"21";"0.0"
"285";"lachtan";"21";"0.0"
"286";"klisna";"20";"0.0"
"287";"spotřeba";"20";"0.0"
"288";"část";"20";"0.0"
"289";"fenka";"20";"0.0"
"290";"vepřík";"20";"0.0"
"291";"emoce";"20";"0.0"
"292";"rodina";"20";"0.0"
"293";"poměry";"20";"0.0"
"294";"mravenečník";"20";"0.0"
"295";"pitbul";"20";"0.0"
"296";"měsíc";"20";"0.0"
"297";"despekt";"20";"0.0"
"298";"obilí";"20";"0.0"
"299";"orel";"20";"0.0"
"300";"varan";"20";"0.0"
"301";"orangutan";"20";"0.0"
"302";"zima";"19";"0.0"
"303";"čmelák";"19";"0.0"
"304";"mšice";"19";"0.0"
"305";"sen";"19";"0.0"
"306";"očekávání";"19";"0.0"
"307";"sokol";"19";"0.0"
"308";"lov";"19";"0.0"
"309";"vůl";"19";"0.0"
"310";"forma";"19";"0.0"
"311";"rotvajler";"19";"0.0"
"312";"stavák";"18";"0.0"
"313";"bourec";"18";"0.0"
"314";"slepička";"18";"0.0"
"315";"bělouš";"18";"0.0"
"316";"přízeň";"18";"0.0"
"317";"sestřička";"18";"0.0"
"318";"prostor";"18";"0.0"
"319";"období";"18";"0.0"
"320";"holčička";"18";"0.0"
"321";"třída";"18";"0.0"
"322";"právo";"18";"0.0"
"323";"nosál";"18";"0.0"
"324";"potomek";"17";"0.0"
"325";"teriér";"17";"0.0"
"326";"veverka";"17";"0.0"
"327";"jalovice";"17";"0.0"
"328";"chování";"17";"0.0"
"329";"strana";"17";"0.0"
"330";"mimino";"17";"0.0"
"331";"výjimka";"17";"0.0"
"332";"hodina";"17";"0.0"
"333";"svět";"17";"0.0"
"334";"ještěrka";"17";"0.0"
"335";"pašík";"17";"0.0"
"336";"násada";"17";"0.0"
"337";"savec";"17";"0.0"
"338";"aligátor";"17";"0.0"
"339";"úterý";"17";"0.0"
"340";"hlídka";"17";"0.0"
"341";"takin";"16";"0.0"
"342";"potrava";"16";"0.0"
"343";"tendence";"16";"0.0"
"344";"zařízení";"16";"0.0"
"345";"jeřáb";"16";"0.0"
"346";"nechuť";"16";"0.0"
"347";"hřebec";"16";"0.0"
"348";"rasa";"16";"0.0"
"349";"sumec";"16";"0.0"
"350";"povinnost";"16";"0.0"
"351";"role";"16";"0.0"
"352";"náklad";"16";"0.0"
"353";"známka";"16";"0.0"
"354";"trocha";"16";"0.0"
"355";"pondělí";"16";"0.0"
"356";"kanárek";"16";"0.0"
"357";"teplokrevník";"16";"0.0"
"358";"příroda";"16";"0.0"
"359";"jednání";"16";"0.0"
"360";"krajta";"16";"0.0"
"361";"surikata";"16";"0.0"
"362";"strakáč";"15";"0.0"
"363";"osmák";"15";"0.0"
"364";"silnice";"15";"0.0"
"365";"exemplář";"15";"0.0"
"366";"slabost";"15";"0.0"
"367";"produkt";"15";"0.0"
"368";"informace";"15";"0.0"
"369";"kousek";"15";"0.0"
"370";"hucul";"15";"0.0"
"371";"neděle";"15";"0.0"
"372";"ptáček";"15";"0.0"
"373";"kravka";"15";"0.0"
"374";"hodnota";"15";"0.0"
"375";"lipicán";"15";"0.0"
"376";"psík";"15";"0.0"
"377";"kočkodan";"15";"0.0"
"378";"králíček";"15";"0.0"
"379";"alpaka";"15";"0.0"
"380";"makak";"15";"0.0"
"381";"krok";"15";"0.0"
"382";"město";"15";"0.0"
"383";"výzva";"15";"0.0"
"384";"host";"15";"0.0"
"385";"zdroj";"15";"0.0"
"386";"retrívr";"15";"0.0"
"387";"dům";"15";"0.0"
"388";"výsledek";"15";"0.0"
"389";"buvol";"14";"0.0"
"390";"sport";"14";"0.0"
"391";"ochrana";"14";"0.0"
"392";"opatření";"14";"0.0"
"393";"voda";"14";"0.0"
"394";"výroba";"14";"0.0"
"395";"vydra";"14";"0.0"
"396";"porážka";"14";"0.0"
"397";"ruka";"14";"0.0"
"398";"ohař";"14";"0.0"
"399";"večer";"14";"0.0"
"400";"film";"14";"0.0"
"401";"zástupce";"14";"0.0"
"402";"typ";"14";"0.0"
"403";"výstava";"14";"0.0"
"404";"riziko";"14";"0.0"
"405";"hrošík";"14";"0.0"
"406";"pudl";"14";"0.0"
"407";"strážník";"14";"0.0"
"408";"míra";"14";"0.0"
"409";"opeřenec";"13";"0.0"
"410";"nemluvně";"13";"0.0"
"411";"firma";"13";"0.0"
"412";"skupinka";"13";"0.0"
"413";"program";"13";"0.0"
"414";"krása";"13";"0.0"
"415";"klub";"13";"0.0"
"416";"primát";"13";"0.0"
"417";"zásada";"13";"0.0"
"418";"dohoda";"13";"0.0"
"419";"síla";"13";"0.0"
"420";"potíž";"13";"0.0"
"421";"agama";"13";"0.0"
"422";"hráč";"13";"0.0"
"423";"pán";"13";"0.0"
"424";"srst";"13";"0.0"
"425";"prostředí";"13";"0.0"
"426";"záměr";"13";"0.0"
"427";"žížala";"13";"0.0"
"428";"sele";"13";"0.0"
"429";"pozor";"13";"0.0"
"430";"škoda";"13";"0.0"
"431";"divočák";"13";"0.0"
"432";"zloba";"13";"0.0"
"433";"Terezka";"13";"0.0"
"434";"tapír";"13";"0.0"
"435";"chyba";"13";"0.0"
"436";"užovka";"13";"0.0"
"437";"otázka";"13";"0.0"
"438";"čivava";"13";"0.0"
"439";"slípka";"13";"0.0"
"440";"chov";"13";"0.0"
"441";"fretka";"13";"0.0"
"442";"pochyba";"13";"0.0"
"443";"kolekce";"13";"0.0"
"444";"nepořádek";"12";"0.0"
"445";"Převalský";"12";"0.0"
"446";"bernardýn";"12";"0.0"
"447";"dvacítka";"12";"0.0"
"448";"řešení";"12";"0.0"
"449";"přítel";"12";"0.0"
"450";"děcko";"12";"0.0"
"451";"změna";"12";"0.0"
"452";"zákazník";"12";"0.0"
"453";"obraz";"12";"0.0"
"454";"postup";"12";"0.0"
"455";"Ježíšek";"12";"0.0"
"456";"pokuta";"12";"0.0"
"457";"žír";"12";"0.0"
"458";"štír";"12";"0.0"
"459";"koník";"12";"0.0"
"460";"dostatek";"12";"0.0"
"461";"pokora";"12";"0.0"
"462";"snaha";"12";"0.0"
"463";"pokus";"12";"0.0"
"464";"dílo";"12";"0.0"
"465";"brouk";"12";"0.0"
"466";"lín";"12";"0.0"
"467";"rostlina";"12";"0.0"
"468";"péče";"12";"0.0"
"469";"řidič";"12";"0.0"
"470";"sova";"12";"0.0"
"471";"nevraživost";"12";"0.0"
"472";"smysl";"12";"0.0"
"473";"šance";"11";"0.0"
"474";"domov";"11";"0.0"
"475";"stav";"11";"0.0"
"476";"cvrček";"11";"0.0"
"477";"přímorožec";"11";"0.0"
"478";"armáda";"11";"0.0"
"479";"kšeft";"11";"0.0"
"480";"bezpečnost";"11";"0.0"
"481";"kreveta";"11";"0.0"
"482";"jízda";"11";"0.0"
"483";"knírač";"11";"0.0"
"484";"chlapeček";"11";"0.0"
"485";"pořádek";"11";"0.0"
"486";"podmínka";"11";"0.0"
"487";"koníček";"11";"0.0"
"488";"hlemýžď";"11";"0.0"
"489";"gorila";"11";"0.0"
"490";"jistota";"11";"0.0"
"491";"obživa";"11";"0.0"
"492";"krmení";"11";"0.0"
"493";"plod";"11";"0.0"
"494";"výhoda";"11";"0.0"
"495";"losos";"11";"0.0"
"496";"desetiletí";"11";"0.0"
"497";"dinosaurus";"11";"0.0"
"498";"odpad";"11";"0.0"
"499";"boxer";"11";"0.0"
"500";"vnučka";"11";"0.0"
"501";"oběť";"11";"0.0"
"502";"hrabáč";"10";"0.0"
"503";"šváb";"10";"0.0"
"504";"housenka";"10";"0.0"
"505";"kamarád";"10";"0.0"
"506";"úkol";"10";"0.0"
"507";"pískomil";"10";"0.0"
"508";"amur";"10";"0.0"
"509";"sezóna";"10";"0.0"
"510";"sentiment";"10";"0.0"
"511";"populace";"10";"0.0"
"512";"bulteriér";"10";"0.0"
"513";"smlouva";"10";"0.0"
"514";"medvídek";"10";"0.0"
"515";"kotě";"10";"0.0"
"516";"labuť";"10";"0.0"
"517";"pavián";"10";"0.0"
"518";"kniha";"10";"0.0"
"519";"brambora";"10";"0.0"
"520";"přístup";"10";"0.0"
"521";"červ";"10";"0.0"
"522";"sklon";"10";"0.0"
"523";"plán";"10";"0.0"
"524";"buldok";"10";"0.0"
"525";"společnost";"10";"0.0"
"526";"kvalita";"10";"0.0"
"527";"labrador";"10";"0.0"
"528";"vzhled";"10";"0.0"
"529";"kajman";"10";"0.0"
"530";"příbuzný";"10";"0.0"
"531";"policie";"10";"0.0"
"532";"býček";"10";"0.0"
"533";"pokyn";"10";"0.0"
"534";"pátek";"10";"0.0"
"535";"kakadu";"10";"0.0"
"536";"zákaz";"10";"0.0"
"537";"šampion";"10";"0.0"
"538";"larva";"10";"0.0"
"539";"kosman";"10";"0.0"
"540";"malamut";"10";"0.0"
"541";"půda";"10";"0.0"
